,assistsPg,blocksPg,defRebsPg,efficiency,fgaPg,fgmPg,fgpct,foulsPg,ftaPg,ftmPg,ftpct,games,gamesStarted,minsPg,offRebsPg,pointsPg,rebsPg,stealsPg,tpaPg,tpmPg,tppct,turnoversPg,playerId
0,0.6,0.22,1.9,4.7,2.444,0.889,36.4,1.11,0.0,0.0,0.0,9,0,17.1,1.0,2.4,2.9,0.33,1.667,0.667,40.0,0.22,200782
1,0.7,1.4,3.6,13.6,8.862,4.276,48.2,2.03,1.776,1.517,85.4,58,58,27.2,1.4,11.6,5.0,0.6,4.397,1.552,35.3,0.88,201572
2,5.6,0.51,3.2,20.3,13.511,6.787,50.2,1.62,2.021,1.66,82.1,47,44,31.9,1.2,17.1,4.4,1.79,4.723,1.894,40.1,2.11,201950
3,3.4,0.27,1.5,8.1,4.636,2.091,45.1,0.91,2.0,1.727,86.4,11,1,17.1,0.3,6.3,1.8,0.18,1.273,0.364,28.6,0.91,201952
4,5.5,0.16,5.1,21.6,15.491,7.404,47.8,2.37,3.386,3.018,89.1,57,57,33.2,0.8,20.0,5.9,1.12,5.14,2.193,42.7,2.68,203114
5,6.0,1.26,9.6,33.5,18.16,10.28,56.6,2.72,9.98,6.78,67.9,50,50,33.6,1.7,28.4,11.3,1.18,3.6,1.08,30.0,3.68,203507
6,0.9,0.21,1.4,4.8,2.681,1.404,52.4,1.4,0.83,0.383,46.2,47,2,10.4,1.1,3.3,2.5,0.4,0.511,0.149,29.2,0.85,203648
7,1.1,0.4,5.2,15.4,9.109,4.818,52.9,1.71,0.945,0.709,75.0,55,6,21.2,1.8,11.5,7.0,0.75,2.455,1.182,48.1,0.84,1626171
8,1.2,0.34,3.9,10.6,5.732,2.589,45.2,1.52,0.625,0.464,74.3,56,3,23.1,1.0,7.2,4.9,0.68,3.946,1.536,38.9,0.48,1626192
9,0.5,0.38,0.8,2.5,1.375,0.5,36.4,0.75,0.875,0.625,71.4,8,1,7.6,0.0,1.8,0.8,0.25,0.25,0.125,50.0,0.0,1626253
10,0.6,0.0,1.3,7.2,7.431,3.414,45.9,1.05,0.897,0.69,76.9,58,9,19.2,0.2,9.6,1.5,0.31,4.793,2.103,43.9,0.6,1627854
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1628382
12,3.1,0.18,4.3,13.4,9.255,3.855,41.7,1.58,1.018,0.745,73.2,55,55,27.4,1.3,10.4,5.6,1.13,5.182,1.982,38.2,1.42,1628978
13,0.8,0.0,1.2,4.8,1.6,1.0,62.5,1.6,0.4,0.4,100.0,5,0,6.8,0.6,3.0,1.8,0.6,0.8,0.6,75.0,0.8,1629066
14,0.5,0.42,1.8,4.4,2.417,1.0,41.4,1.0,0.5,0.5,100.0,12,0,8.5,0.5,2.6,2.3,0.33,0.583,0.083,14.3,0.25,1629603
15,0.3,0.2,1.6,4.9,4.32,1.92,44.4,0.76,0.84,0.68,81.0,25,2,9.1,0.2,5.5,1.8,0.56,2.08,0.96,46.2,0.8,1629670
16,0.7,0.04,0.8,3.5,2.296,1.111,48.4,0.56,0.148,0.148,100.0,27,1,7.4,0.2,3.1,1.0,0.19,1.519,0.741,48.8,0.37,1630241
17,0.2,0.2,1.3,4.2,3.1,1.2,38.7,1.6,0.3,0.3,100.0,10,1,8.7,0.4,3.7,1.7,0.7,2.4,1.0,41.7,0.4,101141
18,6.0,0.17,2.6,17.8,12.583,5.583,44.4,1.96,2.729,2.354,86.3,48,48,29.8,0.7,16.3,3.3,1.4,6.667,2.729,40.9,1.96,201144
19,0.7,1.04,3.4,10.8,3.679,2.268,61.7,2.23,1.304,0.964,74.0,56,0,15.5,2.0,5.5,5.4,0.52,0.036,0.0,0.0,0.59,202324
20,1.9,0.05,3.3,13.1,12.167,5.167,42.5,1.6,3.333,2.9,87.0,60,60,30.6,0.6,15.7,3.9,0.57,6.367,2.467,38.7,1.55,202711
21,1.3,2.8,10.2,26.2,8.186,5.492,67.1,2.39,5.508,3.407,61.8,59,59,31.1,3.4,14.4,13.6,0.53,0.051,0.0,0.0,1.63,203497
22,2.2,0.16,3.3,14.1,15.107,6.375,42.2,1.54,1.839,1.696,92.2,56,1,26.0,0.7,17.5,4.0,0.86,8.696,3.036,34.9,1.7,203903
23,4.4,0.2,3.3,15.5,8.055,4.164,51.7,1.87,1.273,1.091,85.7,55,18,27.4,0.4,12.3,3.7,0.69,5.818,2.836,48.8,1.64,204060
24,2.5,0.49,5.8,13.4,5.525,2.424,43.9,2.66,0.712,0.61,85.7,59,59,32.0,1.2,6.9,7.0,0.76,3.932,1.475,37.5,1.12,1626220
25,0.8,0.12,2.1,6.0,4.967,2.15,43.3,1.55,0.15,0.15,100.0,60,1,14.5,0.4,5.9,2.5,0.28,3.617,1.483,41.0,0.72,1627777
26,5.2,0.28,3.5,22.1,20.585,9.019,43.8,2.21,5.962,5.038,84.5,53,53,33.4,0.9,26.4,4.4,0.98,8.698,3.358,38.6,2.77,1628378
27,0.0,0.33,0.8,1.8,0.583,0.333,57.1,0.67,0.5,0.333,66.7,12,0,4.1,0.3,1.0,1.1,0.08,0.0,0.0,0.0,0.25,1628962
28,0.4,0.18,1.2,2.7,1.932,0.682,35.3,1.16,0.136,0.114,83.3,44,0,9.1,0.4,2.0,1.6,0.14,1.705,0.568,33.3,0.34,1629671
29,0.3,0.1,0.7,2.3,1.571,0.714,45.5,0.67,0.095,0.095,100.0,21,0,4.5,0.3,1.9,1.0,0.14,0.952,0.333,35.0,0.14,1629714
30,0.6,0.0,1.0,1.3,3.667,1.111,30.3,0.56,0.0,0.0,0.0,9,0,7.8,0.2,2.6,1.2,0.11,2.333,0.333,14.3,0.56,1629744
31,0.3,0.0,0.7,1.9,0.957,0.478,50.0,0.78,0.304,0.13,42.9,23,0,5.0,0.3,1.2,1.0,0.17,0.478,0.13,27.3,0.13,1629752
32,0.3,0.08,0.5,1.3,1.692,0.615,36.4,0.08,0.308,0.231,75.0,13,0,3.5,0.0,1.9,0.5,0.08,1.308,0.462,35.3,0.46,1630190
33,1.1,0.06,0.4,1.7,1.111,0.444,40.0,0.28,0.111,0.111,100.0,18,0,5.9,0.0,1.0,0.4,0.22,0.167,0.0,0.0,0.44,1630235
34,2.7,1.27,3.4,11.4,8.818,3.636,41.2,3.0,2.182,1.545,70.8,11,5,27.2,0.7,9.7,4.1,0.91,3.273,0.909,27.8,1.55,201949
35,3.7,0.29,3.0,11.6,10.017,4.102,40.9,1.64,2.441,1.763,72.2,59,58,29.8,0.4,11.8,3.4,0.71,5.102,1.797,35.2,1.61,202339
36,0.0,0.0,1.0,2.3,2.333,1.0,42.9,0.0,0.0,0.0,0.0,3,0,8.0,0.3,2.7,1.3,0.0,2.0,0.667,33.3,0.33,203263
37,1.9,0.66,5.2,15.5,5.411,3.357,62.0,2.0,2.375,1.054,44.4,56,56,28.0,3.8,7.8,9.0,0.95,0.054,0.0,0.0,1.39,203500
38,0.9,0.47,4.0,11.2,4.972,2.75,55.3,1.17,1.556,1.0,64.3,36,2,15.6,2.3,6.5,6.3,0.31,0.25,0.028,11.1,0.53,1626195
39,4.9,0.64,4.4,22.6,18.236,8.582,47.1,2.0,5.4,4.782,88.6,55,55,34.5,0.5,24.3,4.9,0.69,6.182,2.345,37.9,2.51,1627742
40,5.6,0.57,3.6,16.5,12.152,5.109,42.0,1.98,1.043,0.826,79.2,46,46,31.1,0.5,14.1,4.1,1.39,7.913,3.022,38.2,2.04,1628366
41,2.3,0.26,6.9,15.1,7.319,3.213,43.9,2.36,1.894,1.468,77.5,47,4,28.7,1.1,9.2,8.0,0.81,4.106,1.34,32.6,1.04,1628404
42,0.4,0.08,2.4,4.3,3.0,1.167,38.9,1.58,1.25,1.0,80.0,12,1,15.7,0.4,3.5,2.8,0.42,1.333,0.167,12.5,0.92,1628411
43,0.6,0.1,1.0,1.9,1.4,0.4,28.6,0.5,0.7,0.4,57.1,10,0,6.1,0.8,1.4,1.8,0.1,0.7,0.2,28.6,0.8,1629117
44,3.6,0.65,4.6,27.8,16.855,10.4,61.7,2.31,8.6,6.018,70.0,55,55,33.0,2.7,27.0,7.3,0.89,0.545,0.164,30.0,2.62,1629627
45,0.5,0.48,2.6,9.1,3.813,2.458,64.5,1.73,1.688,1.292,76.5,48,3,14.8,1.3,6.3,3.9,0.38,0.146,0.063,42.9,0.65,1629637
46,2.0,0.51,2.8,9.7,9.22,3.854,41.8,1.88,1.268,0.951,75.0,41,10,20.8,0.2,10.2,3.0,0.98,4.561,1.585,34.8,1.39,1629638
47,2.3,0.19,1.0,6.3,6.357,2.524,39.7,1.48,0.786,0.619,78.8,42,0,16.3,0.2,6.5,1.2,0.74,2.286,0.786,34.4,0.6,1630184
48,2.6,0.3,3.3,8.3,4.75,1.75,36.8,1.75,2.6,1.7,65.4,20,4,19.0,0.3,5.9,3.6,0.65,2.05,0.65,31.7,0.75,1630230
49,1.8,0.74,8.4,25.1,12.14,7.04,58.0,2.86,3.36,2.6,77.4,50,49,28.0,4.2,17.0,12.6,0.52,0.96,0.32,33.3,1.68,202685
50,3.6,0.82,5.2,16.8,9.643,4.429,45.9,1.82,2.589,2.018,77.9,56,56,27.4,0.8,12.2,6.0,1.25,3.857,1.321,34.3,1.23,203937
51,4.0,0.09,1.8,9.7,6.421,2.807,43.7,0.46,0.632,0.579,91.7,57,8,18.7,0.4,6.9,2.2,1.04,2.175,0.684,31.5,0.74,1626145
52,1.8,0.42,3.7,6.4,8.579,2.947,34.4,1.95,0.947,0.526,55.6,19,0,20.2,0.7,6.7,4.4,0.68,2.211,0.316,14.3,1.58,1626159
53,2.4,0.35,2.1,12.5,15.185,6.37,42.0,3.46,2.574,2.148,83.5,54,54,29.5,0.8,16.8,2.9,1.19,5.463,1.889,34.6,1.85,1628415
54,2.2,0.16,2.9,11.6,8.511,3.644,42.8,1.44,1.867,1.6,85.7,45,33,25.6,0.3,11.2,3.2,0.98,5.711,2.311,40.5,1.02,1628960
55,1.0,2.5,3.5,22.0,12.5,7.0,56.0,4.5,5.0,4.5,90.0,2,0,21.5,2.0,19.0,5.5,0.5,3.0,0.5,16.7,0.5,1628991
56,2.6,0.5,2.5,12.3,8.0,3.816,47.7,1.71,1.026,0.789,76.9,38,1,20.4,0.7,10.3,3.2,1.29,4.184,1.895,45.3,1.18,1629001
57,0.1,0.0,1.0,1.4,1.143,0.429,37.5,0.86,0.0,0.0,0.0,7,0,3.1,0.3,1.1,1.3,0.29,0.857,0.286,33.3,0.71,1629007
58,7.4,0.18,2.8,18.6,15.3,6.96,45.5,1.4,5.98,4.38,73.2,50,50,32.2,1.0,19.4,3.8,0.88,3.64,1.06,29.1,3.06,1629630
59,1.7,0.81,4.0,14.4,8.833,4.583,51.9,1.52,1.938,1.292,66.7,48,16,25.1,1.5,10.9,5.5,1.02,1.333,0.396,29.7,0.58,1629634
60,0.3,0.54,0.8,2.9,3.0,0.923,30.8,1.15,0.385,0.308,80.0,13,0,9.0,0.5,2.6,1.3,0.38,1.846,0.462,25.0,0.08,1629681
61,1.1,0.21,2.1,6.5,3.029,1.382,45.6,1.03,0.706,0.588,83.3,34,0,13.7,0.7,3.8,2.8,0.85,1.206,0.441,36.6,0.47,1629723
62,1.3,0.56,3.1,10.6,5.375,2.958,55.0,2.21,0.979,0.646,66.0,48,10,19.1,1.3,6.9,4.4,0.81,1.167,0.375,32.1,0.69,1630214
63,1.7,0.19,2.7,10.0,7.333,3.481,47.5,1.94,0.778,0.648,83.3,54,12,22.2,0.4,9.4,3.1,0.61,3.833,1.759,45.9,0.89,1630217
