,assistsPg,blocksPg,defRebsPg,efficiency,fgaPg,fgmPg,fgpct,foulsPg,ftaPg,ftmPg,ftpct,games,gamesStarted,minsPg,offRebsPg,pointsPg,rebsPg,stealsPg,tpaPg,tpmPg,tppct,turnoversPg,id
0,25.7,4.6,37.9,,91.661,44.492,48.5,17.1,20.847,15.797,75.8,59,,48.2,10.4,119.6,48.3,8.2,37.441,14.797,39.5,14.1,1610612749
1,23.7,5.4,37.8,,88.333,41.15,46.6,18.9,21.75,17.267,79.4,60,,48.3,10.6,116.5,48.3,6.5,43.283,16.883,39.0,14.1,1610612762
2,26.1,4.3,35.4,,88.417,42.583,48.2,17.9,26.033,19.117,73.4,60,,48.4,11.6,115.0,47.0,7.3,30.583,10.683,34.9,14.5,1610612740
3,27.2,4.5,34.9,,92.241,43.345,47.0,18.9,20.69,16.034,77.5,58,,48.4,11.1,113.9,46.1,9.4,31.017,11.207,36.1,13.2,1610612763
4,21.2,5.0,35.4,,86.426,39.361,45.5,20.5,21.459,16.672,77.7,61,,48.3,10.2,106.9,45.6,7.1,29.803,11.492,38.6,13.4,1610612752
5,22.3,4.6,36.0,,87.633,38.933,44.4,18.2,20.933,15.333,73.2,60,,48.3,9.5,105.6,45.5,7.0,35.75,12.367,34.6,16.0,1610612760
6,24.2,4.7,34.6,,87.383,40.65,46.5,19.5,24.4,19.8,81.1,60,,48.4,10.7,113.8,45.3,7.0,33.883,12.65,37.3,13.3,1610612737
7,23.2,6.2,35.3,,86.617,41.067,47.4,20.4,26.217,20.017,76.4,60,,48.4,10.0,113.2,45.3,8.9,29.85,11.0,36.9,14.8,1610612755
8,22.1,4.3,34.9,,89.508,38.492,43.0,16.9,20.61,15.966,77.5,59,,48.2,10.4,104.2,45.3,7.1,32.424,11.203,34.6,12.8,1610612753
9,25.0,3.8,35.6,,89.695,42.136,47.0,21.7,25.881,19.644,75.9,59,,48.2,9.3,114.4,44.9,7.3,29.915,10.441,34.9,14.9,1610612764
10,27.2,4.6,33.9,,89.217,43.533,48.8,18.8,19.267,15.3,79.4,60,,48.7,10.7,115.5,44.5,8.0,34.167,13.083,38.3,13.6,1610612743
11,26.8,4.2,35.1,,88.533,42.45,47.9,19.1,17.75,14.25,80.3,60,,48.3,9.4,111.6,44.5,6.8,33.917,12.467,36.8,15.5,1610612741
12,26.7,5.2,35.3,,87.6,43.183,49.3,19.1,22.6,18.183,80.5,60,,48.4,9.1,118.6,44.4,6.8,36.217,14.067,38.8,13.9,1610612751
13,24.5,4.2,34.9,,87.081,42.097,48.3,19.5,19.516,16.274,83.4,62,,48.0,9.5,114.9,44.4,7.1,34.403,14.419,41.9,13.0,1610612746
14,23.3,5.1,33.7,,88.25,41.333,46.8,20.2,20.8,16.1,77.4,60,,48.3,10.7,112.0,44.4,7.8,35.467,13.267,37.4,14.3,1610612738
15,24.5,5.3,34.9,,85.917,40.617,47.3,19.1,23.083,17.25,74.7,60,,48.5,9.5,109.6,44.4,7.8,31.467,11.15,35.4,15.4,1610612747
16,24.6,5.3,34.8,,89.881,41.322,46.0,18.0,21.831,17.136,78.5,59,,48.4,9.3,110.1,44.1,7.1,29.119,10.356,35.6,11.6,1610612759
17,20.7,5.1,33.2,,90.78,40.559,44.7,19.1,21.305,17.542,82.3,59,,48.1,10.7,114.4,43.9,7.0,41.678,15.712,37.7,11.3,1610612757
18,22.5,4.4,34.8,,86.932,40.712,46.8,19.4,21.271,16.441,77.3,59,,48.1,8.8,111.5,43.6,6.0,38.102,13.661,35.9,12.1,1610612742
19,26.7,4.7,33.2,,87.39,39.966,45.7,18.0,20.627,15.847,76.8,59,,48.2,10.4,109.6,43.6,7.9,36.966,13.864,37.5,15.2,1610612766
20,27.1,4.2,34.6,,88.254,43.0,48.7,19.4,18.339,15.186,82.8,59,,48.6,8.7,114.2,43.3,7.2,34.831,13.017,37.4,13.0,1610612756
21,25.0,5.6,32.7,,90.672,40.246,44.4,20.8,22.41,17.295,77.2,61,,48.3,10.2,110.7,42.9,8.8,36.852,12.885,35.0,14.3,1610612750
22,24.4,5.1,33.0,,86.033,38.672,45.0,20.8,23.869,18.344,76.9,61,,48.5,10.0,107.5,42.9,7.6,33.23,11.803,35.5,14.9,1610612765
23,27.4,4.8,34.8,,88.3,41.1,46.5,21.5,21.433,16.733,78.1,60,,48.1,7.9,113.0,42.7,8.3,37.8,14.083,37.3,15.0,1610612744
24,23.9,4.8,32.2,,85.983,39.068,45.4,18.6,21.78,16.153,74.2,59,,48.4,10.4,104.0,42.6,8.1,28.712,9.746,33.9,15.3,1610612739
25,23.0,5.2,33.3,,88.279,38.918,44.1,19.5,22.23,16.459,74.0,61,,48.1,9.2,107.7,42.5,7.6,40.0,13.361,33.4,14.6,1610612745
26,26.7,6.3,33.2,,90.864,42.525,46.8,20.3,20.831,16.373,78.6,59,,48.5,9.2,113.7,42.4,8.7,34.39,12.271,35.7,13.5,1610612754
27,26.2,4.1,33.8,,83.443,38.475,46.1,18.9,21.279,16.738,78.7,61,,48.3,8.0,106.4,41.8,7.8,36.311,12.721,35.0,14.4,1610612748
28,25.5,4.8,31.9,,88.712,42.797,48.2,19.6,22.898,16.949,74.0,59,,48.1,9.5,114.6,41.5,7.2,33.169,12.085,36.4,13.2,1610612758
29,24.2,5.7,32.3,,88.3,39.617,44.9,21.7,21.533,17.783,82.6,60,,48.0,9.3,111.9,41.5,8.4,40.033,14.867,37.1,13.4,1610612761
